,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
771,half moon bay,us,37.4636,-122.4286,67.17,84.0,100.0,8.43
774,yerofey pavlovich,ru,53.9667,121.9667,43.74,97.0,95.0,4.03
776,wamba,cd,2.1435,27.9939,64.8,98.0,74.0,1.74
779,manggar,id,-2.8834,108.2667,72.21,97.0,58.0,3.22
780,saldanha,za,-33.0117,17.9442,67.68,60.0,0.0,10.78
783,tazmalt,dz,36.3879,4.3993,66.88,91.0,100.0,7.31
784,dingle,ie,52.1408,-10.2689,57.42,78.0,22.0,3.2
789,guerrero negro,mx,27.971,-114.0364,72.72,84.0,4.0,12.59
793,lerwick,gb,60.1545,-1.1495,47.08,71.0,68.0,5.23
794,kununurra,au,-15.7731,128.7388,63.21,75.0,0.0,4.43
795,san javier,bo,-16.274,-62.5045,95.11,21.0,74.0,8.3
799,la asuncion,ve,11.0333,-63.8628,87.04,68.0,10.0,6.8
803,san vicente,ph,14.1065,122.8733,75.56,94.0,100.0,2.19
805,ossora,ru,59.2353,163.0719,53.71,93.0,99.0,2.62
806,xingyi,cn,24.1877,102.817,59.04,98.0,100.0,3.31
812,kampot,kh,10.6183,104.1797,79.34,80.0,100.0,9.35
815,santa isabel do rio negro,br,-0.4145,-65.0168,81.0,65.0,78.0,2.53
817,hovd,mn,48.0056,91.6419,43.2,58.0,6.0,3.31
820,san patricio,mx,19.223,-104.6989,90.28,57.0,62.0,6.93
827,clyde river,ca,70.4692,-68.5915,41.43,67.0,92.0,8.34
830,orchard homes,us,46.8633,-114.0485,78.89,31.0,1.0,1.3
837,nurota,uz,40.5614,65.6886,59.25,30.0,13.0,14.99
838,zhigansk,ru,66.7656,123.3741,33.3,90.0,2.0,8.75
847,ketchikan,us,55.3422,-131.6462,63.16,82.0,100.0,4.92
852,riga,lv,56.9494,24.1052,55.6,68.0,99.0,9.53
855,wanaka,nz,-44.6972,169.1364,38.34,81.0,85.0,3.83
856,ulaangom,mn,49.98,92.0689,48.92,67.0,23.0,4.97
861,rio claro,tt,10.3064,-61.1751,86.54,70.0,100.0,4.43
869,cockburn town,tc,21.4612,-71.1419,85.78,75.0,100.0,14.5
870,cacequi,br,-29.8839,-54.8274,72.54,79.0,85.0,1.57
872,curuca,br,-2.5229,-61.0606,84.96,51.0,95.0,3.04
877,terra roxa,br,-20.7871,-48.3315,84.74,37.0,60.0,2.35
884,ust-tsilma,ru,65.441,52.1498,44.24,96.0,1.0,4.32
887,jamsa,fi,61.8642,25.19,51.3,96.0,100.0,5.95
892,muli,mv,2.9167,73.5667,82.04,72.0,92.0,3.76
897,kiunga,pg,-6.116,141.2982,66.52,99.0,86.0,2.48
902,siuna,ni,13.7341,-84.778,77.04,77.0,55.0,5.03
903,samarkand,uz,39.6548,66.9758,58.6,27.0,89.0,12.35
905,san jose,ph,15.7917,120.9891,75.63,92.0,100.0,2.37
908,buluang,ph,10.4667,123.9833,81.86,76.0,10.0,7.67
918,hasaki,jp,35.7333,140.8333,74.82,88.0,3.0,3.78
922,magadan,ru,59.5605,150.7989,47.52,63.0,0.0,12.46
923,solnechnyy,ru,50.7238,136.6401,59.4,98.0,100.0,1.68
926,tuatapere,nz,-46.1324,167.6908,42.1,64.0,58.0,16.22
934,amapa,br,-1.8297,-56.2258,90.72,37.0,50.0,3.24
942,kaeo,nz,-35.1018,173.7751,61.99,83.0,0.0,12.08
944,marsa matruh,eg,31.3525,27.2453,78.66,79.0,0.0,12.35
949,hirara,jp,24.8,125.2833,82.94,74.0,98.0,5.84
953,pochutla,mx,15.7432,-96.4661,83.05,84.0,30.0,3.36
954,ust-nera,ru,64.5664,143.2378,38.23,76.0,100.0,4.65
957,gravdal,no,59.7913,5.7785,49.82,74.0,0.0,11.14
963,guatire,ve,10.4726,-66.538,83.52,64.0,0.0,3.65
967,camabatela,ao,-8.1872,15.3739,69.3,88.0,100.0,2.66
969,leh,in,34.1642,77.5848,39.7,48.0,0.0,8.05
970,port hardy,ca,50.6996,-127.4199,56.23,84.0,100.0,6.04
971,martapura,id,-3.4055,114.8478,72.93,91.0,0.0,2.55
973,jalu,ly,29.0331,21.5482,73.62,49.0,0.0,11.52
977,coquimbo,cl,-29.9532,-71.3381,59.04,78.0,23.0,20.38
980,kapit,my,2.0165,112.9399,73.98,99.0,100.0,0.09
986,kunming,cn,25.0438,102.7143,63.09,94.0,100.0,2.24
992,pacifica,us,37.6138,-122.487,66.79,84.0,100.0,8.43
996,oranjemund,na,-28.55,16.4333,58.86,76.0,0.0,2.95
999,kraluv dvur,cz,49.9498,14.0345,49.23,95.0,64.0,3.44
1001,ushibuka,jp,32.1906,130.0228,79.09,83.0,24.0,8.86
1005,margherita,in,27.2895,95.6727,74.84,97.0,100.0,2.55
1010,mombasa,ke,-4.0506,39.6672,67.93,85.0,22.0,6.93
1012,biloela,au,-24.3998,150.5142,53.85,39.0,0.0,8.23
1014,kautokeino,no,69.0125,23.0412,34.34,91.0,9.0,5.61
1015,los llanos de aridane,es,28.6585,-17.9183,69.03,76.0,100.0,10.76
1016,mount isa,au,-20.729,139.4932,55.33,27.0,0.0,10.98
1019,mujiayingzi,cn,42.1167,118.7833,60.98,63.0,34.0,5.88
1021,soyo,ao,-6.1334,12.3718,74.59,80.0,83.0,11.21
1025,abha,sa,18.2164,42.5044,71.78,46.0,45.0,3.18
1028,yar-sale,ru,66.8333,70.8333,57.16,76.0,87.0,9.91
1031,bandarbeyla,so,9.4942,50.8122,74.84,73.0,100.0,26.42
1033,laela,tz,-8.5725,32.047,49.46,62.0,0.0,6.98
1035,kashi,cn,39.4547,75.9797,60.73,52.0,11.0,3.4
1042,camacha,pt,33.0833,-16.3334,70.63,83.0,100.0,12.77
1049,chiang klang,th,19.2887,100.8627,67.42,96.0,33.0,2.08
1050,keighley,gb,53.8684,-1.9021,43.23,90.0,91.0,3.02
1052,inhambane,mz,-23.866,35.3844,53.64,84.0,0.0,4.34
1055,seoul,kr,37.5667,126.9783,73.36,90.0,51.0,8.01
1065,strelka,ru,58.0801,93.0317,41.14,81.0,0.0,1.45
1066,vanimo,pg,-2.6741,141.3028,78.73,81.0,38.0,8.23
1077,ales,fr,44.1333,4.0833,60.42,78.0,25.0,7.9
1080,lagos,pt,37.1011,-8.6725,69.26,83.0,0.0,13.62
1088,samarai,pg,-10.6167,150.6667,68.29,79.0,85.0,6.69
1092,tarko-sale,ru,64.9225,77.785,42.82,81.0,37.0,10.25
1094,nuuk,gl,64.175,-51.7356,41.29,86.0,70.0,15.64
1095,khasan,ru,42.4308,130.6434,72.1,84.0,42.0,17.65
1098,edea,cm,3.8,10.1333,76.14,95.0,88.0,1.52
1100,kamenka,ru,53.185,44.0529,56.48,63.0,87.0,5.3
1103,prince rupert,ca,54.3161,-130.3202,60.12,74.0,97.0,5.53
1106,vardo,no,70.3705,31.1107,43.56,71.0,33.0,11.05
1107,yauya,pe,-8.9914,-77.2921,50.07,52.0,73.0,8.75
1111,berlevag,no,70.8578,29.0864,46.47,75.0,59.0,17.43
1119,port hawkesbury,ca,45.6181,-61.3575,52.63,89.0,100.0,40.49
1128,krasnovishersk,ru,60.4018,57.0767,54.14,78.0,73.0,2.28
1131,mandalgovi,mn,45.763,106.2704,49.35,59.0,100.0,3.18
1133,correntina,br,-13.3442,-44.6346,72.07,45.0,0.0,9.4
1134,riyadh,sa,24.632,46.7151,82.72,19.0,13.0,2.1
1137,northam,au,-31.6536,116.6727,39.24,93.0,0.0,6.44
1138,paamiut,gl,61.994,-49.6678,40.75,84.0,96.0,20.29
1142,nyurba,ru,63.2866,118.3541,35.71,95.0,10.0,3.51
1143,am timan,td,11.0396,20.2826,73.58,90.0,100.0,3.6
1144,rosetta,eg,31.4044,30.4164,79.74,77.0,5.0,14.47
1159,manchar,in,19.0033,73.9428,71.71,99.0,100.0,5.46
1160,redmond,us,47.6694,-122.1239,66.47,78.0,100.0,4.43
1164,north bend,us,43.4065,-124.2243,65.48,87.0,100.0,6.29
1168,micheweni,tz,-4.9667,39.8333,77.86,76.0,0.0,14.52
1172,ocampo,mx,27.315,-102.3968,83.41,45.0,1.0,10.6
1173,fukuma,jp,33.7667,130.4667,77.18,86.0,20.0,1.32
1185,mitchell,us,43.7095,-98.0254,65.19,77.0,100.0,15.52
1187,beringovskiy,ru,63.05,179.3167,56.19,67.0,100.0,5.82
1190,horta,pt,40.4193,-8.4892,56.86,37.0,0.0,3.47
1193,surt,ly,31.2089,16.5887,78.91,77.0,0.0,14.0
1195,mwinilunga,zm,-11.7315,24.426,63.64,30.0,0.0,9.22
1202,moissac,fr,44.1051,1.0847,57.67,86.0,16.0,7.92
1205,udachnyy,ru,66.4167,112.4,37.8,86.0,60.0,11.25
1214,basavakalyan,in,17.8759,76.9504,71.13,92.0,100.0,18.41
1217,alice springs,au,-23.6984,133.8813,43.88,37.0,0.0,7.65
1220,okato,nz,-39.1896,173.8803,43.93,84.0,97.0,12.84
1222,el dorado,us,37.8172,-96.8623,95.86,49.0,69.0,16.73
1224,tikrit,iq,34.6158,43.6786,81.21,25.0,0.0,9.75
1227,dehloran,ir,32.6915,47.2675,71.49,30.0,0.0,9.64
1229,trelew,ar,-43.2532,-65.3095,54.93,38.0,5.0,11.05
1238,marshall,us,39.3914,-87.6937,78.73,55.0,15.0,5.44
1243,vila franca do campo,pt,37.7167,-25.4334,68.65,73.0,67.0,18.5
1245,cabedelo,br,-6.9733,-34.8352,71.31,84.0,1.0,11.41
1250,innisfail,au,-17.5224,146.031,52.32,47.0,63.0,3.2
1255,puerto asis,co,0.5133,-76.5008,84.38,43.0,46.0,2.66
1263,flinders,au,-34.581,150.846,48.09,67.0,0.0,16.82
1267,prainha,br,-1.798,-53.478,82.87,46.0,59.0,0.27
1269,paidha,ug,2.4167,30.9853,59.65,93.0,0.0,5.39
1274,mirnyy,ru,56.5712,36.4603,51.69,87.0,89.0,4.29
1276,hervey bay,au,-25.2986,152.8535,56.77,44.0,0.0,5.41
1277,andenes,no,69.3143,16.1194,42.76,62.0,0.0,3.36
1280,pteleos,gr,39.052,22.9524,64.2,63.0,0.0,1.39
1286,awbari,ly,26.5897,12.7694,87.98,20.0,29.0,9.73
1287,manavalakurichi,in,8.1333,77.3,80.24,83.0,100.0,15.26
1288,beloha,mg,-25.1739,45.0615,59.5,58.0,100.0,21.92
1291,sajanan,tn,37.0573,9.2426,66.45,62.0,17.0,1.59
1295,kidal,ml,18.4449,1.4096,92.73,26.0,0.0,13.18
1300,dunedin,nz,-45.874,170.5035,41.31,64.0,100.0,12.93
1302,mahibadhoo,mv,3.7833,72.9667,83.8,69.0,100.0,3.56
1304,ornskoldsvik,se,63.2909,18.7153,49.77,99.0,100.0,2.17
1305,tamandare,br,-8.2789,-70.7519,91.58,33.0,37.0,3.36
1306,valparaiso,cl,-33.0394,-71.6273,57.72,86.0,16.0,18.63
1308,zaria,ng,11.1135,7.7188,69.48,90.0,73.0,3.8
1310,tual,id,-5.6667,132.75,76.06,84.0,76.0,18.34
1315,kamarion,gr,36.8,25.8167,72.84,71.0,0.0,11.86
1316,hastings,us,40.5861,-98.3884,78.3,60.0,100.0,8.79
1319,naze,jp,28.3667,129.4833,79.77,79.0,90.0,15.3
1320,gazanjyk,tm,39.2446,55.5154,74.26,18.0,37.0,17.43
1324,kavaratti,in,10.5669,72.642,82.83,79.0,100.0,20.49
1331,kenai,us,60.5544,-151.2584,50.72,87.0,100.0,20.8
1334,thinadhoo,mv,0.5333,72.9333,82.22,77.0,96.0,9.95
1340,srednekolymsk,ru,67.4555,153.7071,44.96,65.0,0.0,3.85
1343,sikeston,us,36.8767,-89.5879,84.7,48.0,0.0,4.61
1354,yining,cn,29.0361,114.5636,67.21,83.0,0.0,0.56
1355,gizo,sb,-8.1031,156.8419,78.48,81.0,93.0,18.52
1359,mokhsogollokh,ru,61.3979,128.9479,45.79,97.0,100.0,3.8
1361,rosarito,mx,27.0432,-109.905,88.99,67.0,90.0,7.4
1362,saint george,bm,32.3817,-64.6781,84.7,77.0,0.0,12.19
1365,nanortalik,gl,60.1432,-45.2372,43.09,73.0,67.0,33.69
1368,suwalki,pl,54.1118,22.9309,64.33,84.0,100.0,7.09
1369,broken hill,au,-31.9651,141.4511,40.1,87.0,0.0,9.35
1371,jadu,ly,31.953,12.0261,68.68,61.0,26.0,8.86
1390,king city,us,36.2127,-121.1261,80.15,53.0,79.0,15.17
1398,doba,td,8.6592,16.8538,73.8,92.0,100.0,2.84
1399,chapais,ca,49.7839,-74.8569,55.44,98.0,100.0,6.42
1400,dmitriyevka,ru,54.0497,40.4444,50.85,92.0,56.0,3.49
1402,sept-iles,ca,50.2001,-66.3821,47.61,66.0,100.0,8.72
1408,panalingaan,ph,8.7842,117.4231,83.01,78.0,100.0,10.07
1417,bafoulabe,ml,13.8089,-10.8343,74.66,85.0,73.0,4.97
1420,coria,es,39.9832,-6.5367,64.11,24.0,0.0,7.81
1423,volchansk,ru,59.9379,60.0796,49.42,88.0,41.0,3.0
1424,grand bank,ca,47.0999,-55.7651,57.88,69.0,100.0,27.92
1432,te anau,nz,-45.4145,167.7175,33.44,89.0,100.0,7.16
1436,okakarara,na,-20.5904,17.4582,59.72,30.0,0.0,16.06
1438,jinchang,cn,38.5207,102.186,62.96,57.0,100.0,1.88
1448,mae sai,th,20.4335,99.8762,75.24,98.0,96.0,2.48
1450,dukat,ru,62.55,155.55,33.37,97.0,100.0,3.78
1452,richards bay,za,-28.7745,32.0555,63.32,73.0,0.0,20.74
1456,lima,pe,-12.0622,-77.0366,65.37,86.0,0.0,15.35
1458,tevaitoa,pf,-16.7834,-151.5,74.34,68.0,69.0,18.03
1461,alamor,ec,-4.0181,-80.0197,78.48,44.0,37.0,6.69
1464,tongzi,cn,28.7829,105.0877,73.0,93.0,95.0,2.59
1465,nadym,ru,65.5336,72.5114,48.96,85.0,0.0,13.98
1466,taua,br,-3.6151,-49.6248,80.46,51.0,52.0,3.02
1468,colares,pt,38.7992,-9.4463,71.87,73.0,0.0,10.31
1472,videira,br,-27.0055,-51.1534,63.57,67.0,100.0,4.16
1479,sibolga,id,1.737,98.7846,81.32,81.0,70.0,9.64
1482,alofi,nu,-19.0596,-169.9187,73.47,69.0,15.0,17.6
1487,grindavik,is,63.8424,-22.4338,49.6,91.0,100.0,11.03
1492,gualaco,hn,15.0256,-86.0695,79.05,53.0,39.0,6.17
1494,pokhara,np,28.2095,83.9914,55.22,79.0,64.0,4.52
1496,poronaysk,ru,49.2216,143.1016,63.79,88.0,100.0,4.0
1500,krasnyy chikoy,ru,50.3643,108.7512,29.91,93.0,91.0,9.06
1501,tibati,cm,6.4659,12.6251,66.92,94.0,100.0,2.64
1508,hamilton,bm,32.2956,-64.7828,84.7,77.0,0.0,12.19
1509,la romana,do,18.4273,-68.9735,82.83,79.0,100.0,4.85
1510,aljezur,pt,37.3149,-8.8048,66.22,76.0,0.0,8.79
1517,banda aceh,id,5.5577,95.3222,82.54,80.0,100.0,18.41
1527,filingue,ne,14.3521,3.3168,91.87,43.0,100.0,4.34
1537,bend,us,44.0582,-121.3154,84.11,22.0,100.0,2.75
1538,siocon,ph,11.0281,124.0373,77.47,84.0,22.0,6.31
1543,itoman,jp,26.1247,127.6694,80.85,81.0,100.0,19.28
1545,poum,nc,-20.2334,164.0167,70.95,63.0,99.0,5.17
1559,gasa,bt,27.9058,89.7294,36.14,90.0,84.0,2.77
1561,tete,mz,-16.1606,33.5871,63.14,59.0,1.0,9.17
1569,aksu,cn,41.1231,80.2644,64.76,49.0,0.0,11.43
1572,kuryk,kz,43.1767,51.6797,66.63,52.0,100.0,9.66
1575,kulevcha,ua,46.0347,29.9334,66.49,55.0,0.0,4.12
1580,nampula,mz,-15.1195,39.2616,60.26,79.0,26.0,9.44
1582,guanambi,br,-14.2231,-42.78,68.97,53.0,81.0,10.07
1588,la ronge,ca,55.1004,-105.3013,63.54,46.0,86.0,2.8
1590,bubaque,gw,11.2833,-15.8334,76.86,83.0,100.0,13.82
1592,pulaski,us,37.0479,-80.7798,79.9,46.0,0.0,7.07
1597,verkhoyansk,ru,67.5527,133.3912,43.38,86.0,100.0,8.55
1598,sampit,id,-2.539,112.9494,71.78,98.0,7.0,2.08
1601,tucumcari,us,35.1719,-103.7251,96.39,23.0,4.0,16.22
1602,teya,ru,60.3731,92.6306,42.01,94.0,90.0,0.56
1609,tshane,bw,-24.0196,21.8684,55.62,46.0,0.0,12.95
1611,manvi,in,15.9967,77.0481,74.19,89.0,100.0,13.69
1620,buffalo,us,42.8867,-78.8784,71.37,58.0,22.0,9.44
1629,khandyga,ru,62.6478,135.5751,44.24,97.0,97.0,6.64
1630,zomin,uz,39.9613,68.4016,48.24,36.0,3.0,1.99
1637,oster,ua,50.9508,30.8782,64.18,80.0,49.0,7.4
1642,torquay,gb,50.4652,-3.5212,49.23,94.0,66.0,8.52
1643,kungurtug,ru,50.5987,97.5254,30.67,63.0,33.0,2.59
1651,shimoda,jp,34.701,138.9287,75.52,78.0,0.0,10.63
1653,bela,pk,26.2268,66.3113,75.45,77.0,42.0,4.54
1658,anchorage,us,61.2163,-149.8949,58.28,53.0,100.0,4.92
1666,castanheira de pera,pt,40.0047,-8.2092,52.11,42.0,0.0,3.89
1670,kayerkan,ru,69.3497,87.7602,49.64,92.0,68.0,18.63
1673,westwood,us,42.214,-71.2245,73.9,49.0,24.0,6.46
1678,mitsamiouli,km,-11.3848,43.2844,76.42,78.0,0.0,28.39
1679,charleston,us,38.3506,-81.6333,84.54,61.0,14.0,7.02
1684,buriti,br,-28.2991,-54.4001,72.07,72.0,100.0,2.15
1685,rio grande,br,-32.0335,-52.0992,60.22,95.0,94.0,8.46
1688,ouro preto do oeste,br,-10.7481,-62.2159,94.14,28.0,96.0,8.97
1689,axim,gh,4.8654,-2.2422,75.6,91.0,64.0,9.75
1696,sao jose da coroa grande,br,-8.8978,-35.1478,62.82,87.0,34.0,4.99
1699,ilovlya,ru,49.3063,43.979,55.87,49.0,0.0,8.01
1703,santa comba,es,43.034,-8.8066,59.18,87.0,15.0,12.1
1704,ialibu,pg,-6.2823,143.991,62.42,98.0,100.0,0.92
1707,talavera de la reina,es,39.9607,-4.83,64.94,37.0,0.0,4.97
1708,college,us,64.8569,-147.8028,67.03,48.0,100.0,3.62
1720,thunder bay,ca,48.4064,-89.2598,57.85,69.0,100.0,7.49
1721,broome,au,-17.9667,122.2333,69.08,74.0,0.0,11.27
1727,ibiapina,br,-3.9241,-40.8912,73.76,35.0,44.0,4.21
1732,payakumbuh,id,-0.225,100.6318,65.73,96.0,13.0,2.3
1733,tessalit,ml,20.2009,1.014,94.39,16.0,0.0,11.01
1737,praya,id,-8.7054,116.2704,73.8,82.0,78.0,15.79
1738,arlit,ne,18.7391,7.3933,88.38,39.0,100.0,16.42
1740,ibra,om,22.6896,58.547,90.9,28.0,98.0,4.43
1741,nieuw nickerie,sr,5.9436,-56.9919,82.04,78.0,0.0,11.43
1742,ostrovnoy,ru,68.0544,39.5129,45.79,88.0,94.0,4.7
1750,hengshan,cn,22.2111,110.1474,76.53,86.0,0.0,2.19
1753,odesskoye,ru,54.2097,72.9655,50.0,95.0,67.0,7.65
1755,necochea,ar,-38.5473,-58.7368,49.87,93.0,100.0,13.96
1757,maraa,br,-1.8334,-65.3667,81.46,61.0,99.0,1.99
1761,nara,ml,15.1713,-7.2889,65.3,76.0,90.0,20.31
1765,sabang,id,1.1656,120.8219,80.02,78.0,23.0,6.44
1766,montepuez,mz,-13.1254,39.0017,60.8,63.0,62.0,12.3
1768,preobrazheniye,ru,42.9019,133.9064,68.04,99.0,100.0,11.3
1769,ugoofaaru,mv,5.6667,73.0,82.76,78.0,88.0,8.5
1782,jining,cn,35.4125,116.5849,65.84,75.0,0.0,4.29
1788,lewisporte,ca,49.2463,-55.0594,57.45,67.0,100.0,21.25
1789,sola,vu,-13.8834,167.55,76.53,72.0,100.0,16.87
1791,eldorado,mx,24.3234,-107.3637,91.51,55.0,31.0,10.0
1793,wilmington,us,39.7459,-75.5466,76.91,64.0,9.0,7.83
1794,atbasar,kz,51.811,68.3626,48.45,92.0,100.0,8.14
1800,alaca,tr,40.169,34.8415,57.27,74.0,0.0,4.63
1801,vila velha,br,-3.7125,-38.6045,75.36,73.0,13.0,13.6
1806,methoni,gr,36.8197,21.7049,73.62,64.0,0.0,2.59
1822,karasjok,no,69.4721,25.5183,40.1,83.0,70.0,4.47
1826,uspenka,ru,47.7311,38.7011,61.23,41.0,0.0,10.4
1828,ha tinh,vn,18.3333,105.9,76.1,88.0,97.0,1.9
1834,pangnirtung,ca,66.149,-65.7179,39.49,57.0,94.0,5.93
1835,mabaruma,gy,8.1986,-59.7817,72.61,81.0,40.0,5.44
1839,buala,sb,-8.1456,159.593,78.51,83.0,100.0,3.76
1849,two hills,ca,53.7113,-111.7452,73.0,63.0,59.0,11.68
1851,fairbanks,us,64.8378,-147.7167,67.23,48.0,100.0,3.62
1853,tandalti,sd,13.009,31.8661,83.08,59.0,98.0,10.78
1855,dunmore east,ie,52.1514,-6.9862,46.0,93.0,36.0,1.77
1858,malbork,pl,54.0359,19.0349,57.0,91.0,100.0,6.87
1860,tamsweg,at,47.1261,13.8104,47.98,98.0,100.0,2.75
1861,plouzane,fr,48.3833,-4.6167,54.84,80.0,21.0,14.27
1864,mangan,in,27.4974,88.5362,57.34,85.0,31.0,1.99
1866,sungairaya,id,0.7,108.9,81.93,83.0,100.0,14.7
1875,dawlatabad,af,36.4141,64.9053,55.72,21.0,0.0,2.06
1881,uthal,pk,25.8072,66.6219,80.42,80.0,19.0,8.39
1882,boyolangu,id,-8.0857,111.9026,66.45,96.0,76.0,4.74
1884,cedar city,us,37.6775,-113.0619,89.31,17.0,0.0,3.0
1890,mizdah,ly,31.4451,12.9801,62.42,59.0,1.0,14.61
1893,vyazma,ru,55.2104,34.2951,53.64,95.0,96.0,4.09
1899,sisimiut,gl,66.9395,-53.6735,41.29,86.0,100.0,11.88
1902,susanville,us,40.4163,-120.6531,78.67,18.0,100.0,14.27
1903,nipawin,ca,53.3628,-104.0172,67.75,49.0,14.0,7.36
1904,manokwari,id,-0.8667,134.0833,72.25,62.0,97.0,5.19
1907,kodinsk,ru,58.5963,99.1829,49.35,62.0,100.0,1.34
1912,orangeville,ca,43.9194,-80.0989,67.78,73.0,30.0,14.65
1914,blankenberge,be,51.3131,3.1323,55.58,72.0,0.0,22.79
1915,santomera,es,38.0616,-1.0491,69.53,78.0,100.0,8.97
1925,antofagasta,cl,-23.6464,-70.3981,57.38,80.0,19.0,8.84
1926,sobolevo,ru,54.4299,31.8996,54.14,92.0,61.0,4.81
1928,agropoli,it,40.3469,14.9966,71.29,56.0,0.0,5.99
1938,cairns,au,-16.9205,145.7719,56.66,41.0,100.0,1.92
1940,kingman,us,35.1894,-114.0531,106.27,15.0,0.0,15.39
1942,jiuquan,cn,39.7321,98.4937,63.25,30.0,98.0,7.67
1944,coihaique,cl,-45.5753,-72.0662,49.23,96.0,59.0,4.05
1950,pauini,br,-7.7123,-66.9999,81.03,48.0,100.0,3.49
1958,lae,pg,-6.7221,146.9847,70.56,93.0,96.0,0.83
1962,genhe,cn,50.7833,121.5167,39.74,94.0,86.0,6.4
1968,port shepstone,za,-30.7414,30.455,50.32,91.0,0.0,7.81
1970,kindu,cd,-2.9494,25.9184,70.95,85.0,100.0,2.08
1972,toamasina,mg,-18.1667,49.3833,67.53,99.0,85.0,5.77
1975,mehamn,no,71.035,27.8517,41.94,82.0,43.0,12.64
1990,russell,nz,-35.2613,174.1236,62.2,89.0,0.0,6.73
1992,altay,cn,47.8258,88.1291,40.86,38.0,3.0,6.76
